Lambda,h=0,h=10,h=25,h=40,Bonus 10,Bonus 25,Bonus 40
,,0.000276633,0.00016937,0.000167661,,,
,,0.000284547,0.000168374,0.000165316,,,
,,0.000291007,0.000168166,0.000169235,,,
,,0.000297653,0.000170062,0.000171387,,,
,,0.000309682,0.000173762,0.000171677,,,
,,0.000310548,0.000174443,0.000172895,,,
,,0.000328798,0.000171876,0.000176199,,,
,,0.000327673,0.000177076,0.000178606,,,
,,0.000333432,0.000176193,0.000176487,,,
,,0.000344466,0.000179965,0.000184802,,,
,,0.000357295,0.000180914,0.000182194,,,
,,0.000371359,0.000181031,0.000188581,,,
,,0.000378849,0.000185904,0.000187507,,,
,,0.000390583,0.00018747,0.000186682,,,
,,0.000401559,0.000189599,0.00019098,,,
,,0.000422636,0.000189218,0.000189314,,,
,,0.000445927,0.00019374,0.000197601,,,
,,0.000458923,0.000191276,0.000199773,,,
,,0.000479668,0.000192006,0.00019762,,,
,,0.00051458,0.000195074,0.000200693,,,
,,0.000565887,0.000202904,0.00020371,,,
,,0.000565545,0.000203588,0.000211927,,,
,,0.00059212,0.000205904,0.00021085,,,
,,0.000644354,0.000209412,0.000207694,,,
,,0.000751087,0.000215471,0.00021422,,,
,,0.00075665,0.000218387,0.000213571,,,
,,0.000870494,0.000215553,0.000225283,,,
,,0.000978137,0.000219533,0.000226794,,,
,,0.001115073,0.000226682,0.000231826,,,
,,0.001346552,0.000232712,0.000224204,,,
,,0.001319522,0.000239076,0.000236736,,,
,,0.002171467,0.000231068,0.000234824,,,
,,0.002358347,0.000235776,0.000244561,,,
,,0.003040178,0.000243276,0.000259948,,,
,,0.00364036,0.000247036,0.000241793,,,
,,0.003745883,0.000259152,0.000258746,,,
,,0.003801588,0.000259323,0.000257271,,,
,,0.004491943,0.000259194,0.000266403,,,
,,0.003990341,0.000278068,0.000274662,,,
,,0.004015783,0.00028045,0.000286831,,,
,,0.00407222,0.000284622,0.000294263,,,
,,0.004082586,0.000291838,0.000287011,,,
,,0.004362318,0.00029579,0.000287295,,,
,,0.0052526,0.000303762,0.000301008,,,
,,,0.00030856,0.000323162,,,
,,,0.000305813,0.000325938,,,
,,,0.000332371,0.000333611,,,
,,,0.000337207,0.000348801,,,
,,,0.00034844,0.00035158,,,
,,,0.000360417,0.000375953,,,
,,,0.000384283,0.000383843,,,
,,,0.000381825,0.000393331,,,
,,,0.000412647,0.00041107,,,
,,,0.000410507,0.000431807,,,
,,,0.00044978,0.000438172,,,
,,,0.000474947,0.000474386,,,
,,,0.000479154,0.000484355,,,
,,,0.000530303,0.000523627,,,
,,,0.000543149,0.000558991,,,
,,,0.00057997,0.000558648,,,
,,,0.000598553,0.000656456,,,
,,,0.000662111,0.000678652,,,
,,,0.00074831,0.000726703,,,
,,,0.000764843,0.000800117,,,
,,,0.000902874,0.000887675,,,
,,,0.001016719,0.006,,,
,,,0.001041586,,,,
,,,0.001324275,,,,
,,,0.001393126,,,,
,,,0.00173354,,,,
,,,0.002787606,,,,
,,,0.003483119,,,,
,,,0.00391353,,,,
,,,0.005,,,,
