Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time
371,250,108065,8358,16603,16716,24802,24943,16643,0.022958578607322,0.012014828645426,0.008332626944245,0.005706019071043,0.005487776009301,0.005098468244908,0.008272005561468
381,250,108458,8366,16509,16662,25175,25058,16688,0.025207234281616,0.012986336846569,0.008822484875765,0.006066805402185,0.005637450993695,0.005276983581016,0.008799099881982
391,250,108401,8504,16630,16756,25019,24738,16754,0.02671877869238,0.013710769753458,0.009070060634996,0.006285621287821,0.005858183725443,0.005349593529903,0.009215886652337
401,250,107788,8414,16487,16558,24706,24809,16814,0.027430168885191,0.013886533207982,0.009589797620486,0.006283669432527,0.00590272868717,0.005369030986083,0.009374815406168
411,250,108031,8304,16623,16809,24708,25132,16455,0.029787544075145,0.014962159357517,0.009906386578619,0.00649182584588,0.00608536423683,0.005508666848982,0.009872820884746
421,250,108253,8404,16616,16771,25041,24897,16524,0.031597992622561,0.015853288998556,0.010192458648858,0.006574116608762,0.006187620797686,0.00559158865892,0.010262778528078
431,250,108340,8406,16673,16716,24976,25029,16540,0.034076636926005,0.016756875727224,0.010955085367313,0.006885087844331,0.006398984857565,0.005629466807739,0.010838049963079
441,250,107878,8280,16495,16649,24999,24913,16542,0.036692481400966,0.018176753258563,0.011475634572647,0.007156848793952,0.006482364990166,0.005815523092734,0.011413881755316
451,250,107832,8215,16576,16500,25118,24774,16649,0.039460023371881,0.019411500180985,0.01201783230303,0.007385866669321,0.006717120287398,0.005883963901736,0.01200120190667
461,250,107913,8468,16654,16648,24813,24840,16490,0.044773704180444,0.021758057643809,0.013406526129265,0.007947229234675,0.007194889573269,0.00621564590661,0.013372864464893
471,250,108515,8423,16860,16741,24784,25024,16683,0.051813155882702,0.025096523665481,0.014973595484141,0.008509087516139,0.007701697650256,0.00641093945933,0.014936117338617
481,250,108446,8252,16585,16577,25307,25033,16692,0.05300271994668,0.025830737594212,0.015411087410267,0.008655790295175,0.007728563016818,0.006482563563384,0.01514098240599
