Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time,
201,250,107576,8299,16535,16646,24949,24635,16512,0.010553013616098325,0.006328480254006652,0.005097115222876367,0.004448577538177883,0.0043981877816115286,0.004315725048449613,0.005276879880270692,
211,250,108116,8386,16590,16592,24815,25273,16460,0.010945926782733125,0.0065172974080771546,0.00516489030858245,0.004445200402982067,0.004428877972539864,0.004319823633049817,0.005354927522290873,
221,250,108413,8361,16926,16597,25017,24987,16525,0.011680709484511421,0.006709683032021741,0.005228621015846237,0.004542587400567614,0.004425339856725497,0.004427473948562783,0.005491885779380702,
231,250,108070,8292,16930,16646,25097,24702,16403,0.012657611673902556,0.006967570230360307,0.0053164090472185505,0.004549611069052078,0.00443037535422233,0.004407290434676583,0.005619768029980567,
241,250,107959,8147,16585,16512,25286,24754,16675,0.01349444617650669,0.0071992195960205,0.005351218568313953,0.004546033140868465,0.0045179850125232285,0.004461783088455773,0.005732612000852176,
251,250,108528,8363,16534,16696,25051,25392,16492,0.01427790876479732,0.007391301862828111,0.005391834391471011,0.004614039838728992,0.0045272065611216125,0.0044076812393887945,0.005849814084844463,
261,250,108613,8362,16489,16692,24994,25293,16783,0.015328056445826358,0.00752772866759658,0.005482943266235322,0.004656885892614228,0.004560085715415332,0.004406125782041351,0.005979944187159916,
271,250,107851,8389,16533,16610,25077,24814,16428,0.015731099654309213,0.007895512429686082,0.005566588320288983,0.004642592375483511,0.004513445111630531,0.004384737399561724,0.006077061093545725,
281,250,108379,8300,16691,16478,25253,25071,16586,0.018143203373493975,0.008274553711581091,0.005755981915280981,0.0047251947095394604,0.004597965896852937,0.004474319365730134,0.006388306221685013,
291,250,108224,8285,16382,16654,24944,25246,16713,0.019495558117079058,0.008605599743621047,0.005770226552179656,0.004785857440667094,0.004623365127148855,0.0045148820678513725,0.006561872736176818,
301,250,108875,8434,16861,16714,25145,25027,16694,0.021999724567227888,0.00885425597532768,0.005931655677874835,0.004799347385166037,0.0046901934710512645,0.004528037678207739,0.006866875802525832,
311,250,109117,8327,17083,16982,25009,25031,16685,0.023472057283535484,0.009588104665456888,0.006057435461076434,0.0047871875724739095,0.004692131437018097,0.004532559065028468,0.0071016436119028204,
321,250,108501,8384,16591,16817,25113,24981,16615,0.02521985639312977,0.009938363691157855,0.006141525836950704,0.00488909958985386,0.004698004203194428,0.004559201083358411,0.007331772379978065,
331,250,108373,8121,16835,16480,24887,25309,16741,0.026668876985592904,0.010104575824175824,0.0061951529126213585,0.004924857998151645,0.004732383657987276,0.004581249805865838,0.00745403510099379,
341,250,107540,8391,16503,16497,24888,24783,16478,0.028878586104159217,0.010502566442465005,0.006365192095532521,0.004945596311475409,0.00479587031432837,0.004629408848161184,0.00780059603868328,
351,250,107809,8343,16461,16739,24805,24846,16615,0.03367600791082344,0.010933360063179636,0.006480488440169663,0.0049575361015924205,0.004818079690895919,0.004636930003009329,0.008247309157862514,
361,250,108166,8361,16578,16658,25018,25117,16434,0.03593085336682215,0.01151887272288575,0.006480603493816785,0.005009917819170197,0.004840015567145758,0.004669904162102957,0.008533010650296767,
371,250,108422,8459,16932,16586,24863,25026,16556,0.0450307576545691,0.012248568036853296,0.00665815609550223,0.005132725535936934,0.0048889996403740105,0.004765732604493839,0.009477860941506336,
381,250,108223,8318,16746,16480,25073,25011,16595,0.05008157393604232,0.012873307894422549,0.006794023543689321,0.005114367606588761,0.0049418915277278,0.004706520337451039,0.009924501695573028,
391,250,107690,8268,16419,16562,24824,25129,16488,0.058986838655055635,0.014045217126499787,0.007052503985025963,0.0051853104253947796,0.004964143977078276,0.004684929221251819,0.010825744321664034,
401,250,108443,8306,16701,16659,25056,24925,16796,0.07055836828798459,0.014777955152386084,0.0071116147427816795,0.005193880667305236,0.004951574122367101,0.004757091688497261,0.011847632369078686,
411,250,108113,8246,16493,16594,25133,24810,16837,0.09047718493815182,0.01526786563996847,0.007231864770398938,0.005285286834042892,0.004991164490124949,0.004794705351309616,0.013460802105204738,
421,250,108085,8308,16758,16743,24788,24964,16524,0.12558271352912856,0.016911649421171977,0.007372610464074538,0.0053444193561400675,0.005071613483416119,0.004718759501331397,0.01653554359994449,
431,250,108970,8394,16734,16736,25063,25314,16729,0.1573729399571122,0.017623653280745787,0.007536997131931166,0.005406484618760723,0.005059243699138817,0.004800399904357702,0.019142150729558594,
441,250,108951,8449,16767,16822,25083,24982,16848,0.28538188992780206,0.01855662551440329,0.00772167643562002,0.005452259937009129,0.005129226643183092,0.004882170999525166,0.029365281291589794,
451,250,108630,8345,16697,16597,25049,25221,16721,0.3456773304973038,0.02021367209678385,0.007813607097668252,0.0054806684897600695,0.005086607707862495,0.004855070450331917,0.03404790273405136,
461,250,107980,8246,16716,16467,24822,25010,16719,0.6313278989813242,0.02082356598468533,0.007778581344507196,0.005525500765450004,0.00516735593762495,0.004854942400861296,0.0558405798944249,
471,250,108212,8320,16501,16756,24906,24999,16730,6.952013129206731,0.022373434882734376,0.008165394246836953,0.00558823938006906,0.005167554782191288,0.004914045008965929,0.5424290189165711,
481,250,108190,8246,16662,16693,25034,24978,16577,13.016493907227746,0.025139477193614212,0.00820445030851255,0.0055794563393784455,0.00516785755464809,0.004831578693370332,1.0004500559478693,
491,250,108493,8289,16633,16768,25284,24917,16602,22.55811359005911,0.026987048818613597,0.00831382108778626,0.005601326609713653,0.0051378774732110605,0.004795573665823395,1.7321094064317513,
452,250,107922,8136,16549,16624,24895,25197,16521,0.27031704092920356,0.01967306272282313,0.007804583734359961,0.005481782727455311,0.005113905107750923,0.004896620604079656,0.02780557696299179,
454,250,108349,8387,16881,16617,24858,24999,16607,0.4024221926791463,0.01974266992476749,0.007898484985256063,0.005530731555233728,0.005145104284171367,0.00482900138495815,0.03863386537023877,
456,250,108323,8366,16669,16622,24740,25058,16868,0.5884437433660052,0.020413726198332233,0.008041730297196487,0.0055849668552950685,0.005146395522388059,0.004869274128527388,0.053046276183266704,
458,250,107925,8316,16540,16395,25015,24983,16676,0.35062650937950934,0.0191750892382104,0.00787395309545593,0.0054899526683989605,0.005102760957451067,0.004848304809306788,0.034354628334491544,
460,250,108396,8373,16802,16730,24952,25055,16484,2.2716467588677896,0.021499333412688962,0.008299907352062165,0.0056036673212568125,0.005302423268808621,0.0049708065396748356,0.18335733107310234,
462,250,107879,8280,16638,16522,25009,24901,16529,0.7459676141304348,0.020606473434307007,0.007959696525844329,0.005527191411092007,0.0052113653668527365,0.0049270118579466384,0.06489130205137236,
464,250,108581,8300,16825,16527,25086,25165,16678,2.102756811807229,0.021309294858841008,0.008004885581170205,0.005598044327513354,0.005126523504867872,0.0048936448015349555,0.16848955968355422,
466,250,108225,8288,16716,16896,24833,24821,16671,2.394928260859073,0.02213754720028715,0.008171015151515151,0.005607194901944992,0.005152597679384392,0.004836885969647891,0.191314815994456,
468,250,108364,8349,16820,16580,24955,25170,16490,4.00637919990418,0.023175151545778833,0.008050795717732208,0.00548520709276698,0.005167612117600318,0.004907225227410552,0.31671422673581634,
470,250,108252,8292,16711,16623,24813,25128,16685,10.317459376748673,0.02448512476811681,0.008232034229681768,0.005635906702131947,0.00517972564469914,0.004924996583757867,0.7986047245685991,
472,250,108668,8345,16761,16528,25052,25241,16741,6.732099182744158,0.023252834019449914,0.008059763250242014,0.00556534931342807,0.00514142086288182,0.004855751448539514,0.5250193991607465,
474,250,107851,8330,16514,16689,24834,25016,16468,6.202146588595437,0.023150499999999997,0.008140829468512193,0.005551753845534348,0.005139724416373521,0.0049383126062666986,0.4870592064607653,
476,250,107971,8279,16685,16501,25229,24688,16589,6.918519365865443,0.022295473838777342,0.008136476334767589,0.005568162313210987,0.005151356610499027,0.004878880462957381,0.5384156246955202,
478,250,108539,8218,16658,16682,25187,25096,16698,12.030045328912143,0.02439113368951855,0.008081816628701595,0.005572299400484377,0.005180591169907555,0.0049216634327464365,0.9190851623840278,
480,250,108326,8378,16649,16712,25059,24853,16675,16.974048585700647,0.025116077722385728,0.008330019387266635,0.005573684504569217,0.005138678791292802,0.0048384716641679155,1.321141849343648,
