Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate
13600,99938,99938,0.000108521386835,0.005683523784747,0.000108521386835,0.005683523784747
13700,100222,100222,0.000109251692439,0.005787152521402,0.000109251692439,0.005787152521402
13800,100348,100348,0.000108752780918,0.005700163431259,0.000108752780918,0.005700163431259
13900,99458,99458,0.000109319350561,0.005891934283818,0.000109319350561,0.005891934283818
14000,99741,99741,0.000109629816192,0.006085762123901,0.000109629816192,0.006085762123901
14100,99744,99744,0.000109410094539,0.005885065768367,0.000109410094539,0.005885065768367
14200,99780,99780,0.000109680434048,0.005672479454801,0.000109680434048,0.005672479454801
14300,99767,99767,0.000109960741758,0.005673218599336,0.000109960741758,0.005673218599336
14400,99608,99608,0.000110228878645,0.005953337081359,0.000110228878645,0.005953337081359
14500,100310,100310,0.000110712772839,0.006260592164291,0.000110712772839,0.006260592164291
14600,99882,99882,0.000110976156174,0.005646663062414,0.000110976156174,0.005646663062414
14700,100360,100360,0.00011142882583,0.006028298126744,0.00011142882583,0.006028298126744
14800,100278,100278,0.000111701727663,0.006162867229103,0.000111701727663,0.006162867229103
14900,100277,100277,0.000111567501643,0.005833840262473,0.000111567501643,0.005833840262473
15000,100002,100002,0.000111952515505,0.006019879602408,0.000111952515505,0.006019879602408
15100,100502,100502,0.000111994900057,0.005452627808402,0.000111994900057,0.005452627808402
15200,99344,99344,0.000111741523966,0.005918827508455,0.000111741523966,0.005918827508455
15300,99733,99733,0.000112462756957,0.006276758946387,0.000112462756957,0.006276758946387
15400,99477,99477,0.000112288562911,0.006242649054555,0.000112288562911,0.006242649054555
15500,99979,99979,0.000112659738954,0.006031266565979,0.000112659738954,0.006031266565979
15600,100062,100062,0.000113346337278,0.006086226539545,0.000113346337278,0.006086226539545
15700,99993,99993,0.000112943149372,0.006290440330823,0.000112943149372,0.006290440330823
15800,100393,100393,0.000113828576487,0.006205611945056,0.000113828576487,0.006205611945056
15900,100091,100091,0.000113780851334,0.005844681339981,0.000113780851334,0.005844681339981
16000,100119,100119,0.000113845241262,0.005912963573348,0.000113845241262,0.005912963573348
16100,100188,100188,0.000114271519886,0.006268215754382,0.000114271519886,0.006268215754382
16200,100041,100041,0.00011448965011,0.00611749182835,0.00011448965011,0.00611749182835
16300,99757,99757,0.000114191095405,0.005844201409425,0.000114191095405,0.005844201409425
16400,100937,100937,0.000114866711108,0.006112723778198,0.000114866711108,0.006112723778198
16500,100620,100620,0.000115420474287,0.00664877757901,0.000115420474287,0.00664877757901
16600,99865,99865,0.000115989802659,0.00605817854103,0.000115989802659,0.00605817854103
16700,100372,100372,0.000116321593625,0.006017614474156,0.000116321593625,0.006017614474156
16800,99749,99749,0.00011574482568,0.005884770774644,0.00011574482568,0.005884770774644
16900,99352,99352,0.000115155125125,0.00616998147999,0.000115155125125,0.00616998147999
17000,100445,100445,0.000116935048791,0.005853949922843,0.000116935048791,0.005853949922843
17100,99647,99647,0.000116495185984,0.00657320340803,0.000116495185984,0.00657320340803
17200,99913,99913,0.00011728396523,0.006215407404442,0.00011728396523,0.006215407404442
