Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
4500,99830,33217,0.003552691867582602,0.253936237468766,33530,0.004368485367254762,0.16847599164926932,33083,0.005384567522573436,0.07629296013058066,
4600,100180,33465,0.004855418967258528,0.4086358882414463,33292,0.006690035204550474,0.2872161480235492,33423,0.009268630762325805,0.1425964156419232,
4700,100097,33429,0.004852552126851659,0.5673517006192228,33498,0.008257767880428375,0.4281449638784405,33170,0.014024102165573184,0.22882122399758817,
4800,99468,33070,0.0004966496851497486,0.9751738736014515,33318,0.0015579548243695467,0.9555795666006363,33080,0.012415749315337796,0.8711608222490931,
4900,100098,33430,0.00047839480532357534,0.9849536344600658,33132,0.0014956586176584363,0.9656525413497525,33536,0.008655016164947718,0.9005844465648855,
5000,100216,33425,0.0004555455198889408,0.9757068062827225,33394,0.001443540651882368,0.9591243936036413,33397,0.007580943753757479,0.890349432583765,
5100,99999,33263,9.298445209374736e-05,0.9955205483570333,33457,0.00037161737988536847,0.99225872014825,33279,0.003337494512258198,0.968508669130683,
5200,100085,33210,0.00018420291260293464,0.9877145438121048,33119,0.0004964602301164167,0.9817325402337027,33756,0.00268517473969599,0.9624955563455385,
5300,100081,33455,8.106835747646251e-05,0.9953370198774473,33358,0.00027439466451213473,0.9919659452005516,33268,0.0018015219823890576,0.9800408801250451,
5400,99231,32825,0.00010099006019911512,0.9944249809596344,33015,0.0003514871298430495,0.9903983038013024,33391,0.0023067419645511874,0.9747237279506454,
5500,99673,32946,0.00016723582748750482,0.9884356219267892,33446,0.0005225912368404216,0.9814626562219697,33281,0.002372911706056432,0.9629217872059133,
5600,100045,33412,0.0001310064516400578,0.9923979408595714,33153,0.0003391634153144444,0.9890507646366845,33480,0.001540735998025972,0.9763739545997611,
5700,99642,33271,9.54487841538777e-05,0.9951008385681224,33100,0.00023963687403845313,0.9922658610271903,33271,0.0017569813488047595,0.9780589702744131,
5800,100546,33664,0.00012603015505283384,0.9929598384030418,33590,0.00035100512936596585,0.988061923191426,33292,0.0016667167813541645,0.9743181545115944,
5900,99465,33019,6.569742769212301e-05,0.9967897271268058,33315,0.0002315162685128695,0.9945369953474411,33131,0.0012957640874668617,0.9855724246174278,
6000,100099,33447,4.193176670851745e-05,0.9980566269022633,33311,0.00016759721270100388,0.9956771036594518,33341,0.0012887067784961112,0.9859632284574548,
