Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
4800,100498,33619,0.00042228998862180514,0.023022695499568695,33541,0.0004329254036613323,0.013804001073313258,33338,0.00044981421210950036,0.005579218909352691,
4900,100244,33386,0.0004247739833696877,0.023303180974060984,33382,0.00043844828490226874,0.01458870049727398,33476,0.00045064903096983934,0.005317242203369578,
5000,100164,33468,0.00042697903970115173,0.022110672881558505,33408,0.0004442921780259926,0.014846743295019157,33288,0.00044626722352793984,0.006789233357366017,
5100,99774,33049,0.00043153738762414303,0.023510544948409935,33317,0.000442060751001836,0.014076897679863132,33408,0.000443252619077807,0.005507662835249042,
5200,99832,33361,0.0004370903689895434,0.023500494589490724,32891,0.0004427543103082917,0.015688182177495364,33580,0.00045170423641842144,0.006075044669446099,
5300,100179,33549,0.00043461766482320424,0.024590896897075918,33319,0.00044744104781865466,0.014556259191452325,33311,0.00046311173874926623,0.006124103149109904,
5400,100877,33887,0.0004501379417749142,0.02484728657007112,33495,0.000464524874072265,0.01439020749365577,33495,0.0004734960931267174,0.005791909240185102,
5500,99927,33236,0.0004433726945834142,0.02419063665904441,33082,0.0004535463639142125,0.014358261290127561,33609,0.0004694811317043387,0.0059507869915796366,
5600,100136,33207,0.00044730738748245257,0.02481404523142711,33427,0.00045809148421541146,0.014389565321446734,33502,0.00046779982238540134,0.006984657632380156,
5700,99267,33188,0.00045234861573924815,0.025461010003615763,33056,0.00046455741020388387,0.014914085188770571,33023,0.0004723106766274002,0.006873996911243679,
5800,100191,33314,0.00045307339953701314,0.024554241460046828,33556,0.00046416589676576586,0.015407080700917869,33321,0.00048011302586522587,0.006902553944959635,
5900,100075,33256,0.0004598994390615342,0.02462713495309117,33488,0.00046672294509741974,0.01484113712374582,33331,0.0004908675446384194,0.00516036122528577,
6000,100341,33373,0.0004552843578971049,0.024870404218979413,33432,0.0004708259264415075,0.01492581957406078,33536,0.00048401773886979125,0.006679389312977099,
6100,99886,33501,0.0004687901236912854,0.024447031431897557,33225,0.0004768922402321254,0.01544018058690745,33160,0.00048727812933063925,0.006393244873341375,
6200,99875,33259,0.00045848060745878026,0.025496857993325114,33385,0.00047169938900348856,0.016025161000449303,33231,0.0004865201711320008,0.006620324395895399,
6300,100552,33840,0.00047501962768183937,0.026625295508274232,33292,0.00048635883806744156,0.016460410909527816,33420,0.000502063494439738,0.007031717534410533,
6400,100526,33787,0.00048016159445970043,0.02711101903098825,33294,0.0004933616905151972,0.016219138583528563,33445,0.0005061823658669272,0.00675736283450441,
6500,100551,33468,0.00048125441327390313,0.027190151786781403,33463,0.0005039708139456253,0.01667513372979111,33620,0.0005109381798098318,0.0063355145746579414,
6600,100196,33413,0.0005184084917587353,0.027204980097566816,33314,0.0005294962257487217,0.017380080446659063,33469,0.0005457757080622428,0.008575099345663152,
6700,99768,33592,0.0004995862288329622,0.027327935222672066,33008,0.0005159140480786225,0.017056471158507027,33168,0.0005299307171873113,0.006904245055475156,
6800,100263,33229,0.0005178250453036085,0.029883535466008606,33749,0.0005283853474473839,0.017007911345521348,33285,0.0005471904492479212,0.007300585849481749,
6900,99908,33317,0.0005068409519047093,0.02773358945883483,33137,0.0005193046790537036,0.017050427015119052,33454,0.000534333887020363,0.006905003885932923,
7000,100027,33172,0.000515415794542913,0.028216568190039794,33353,0.0005307235199195667,0.017299793122057986,33502,0.0005417199171409725,0.007253298310548624,
7100,99853,33146,0.0005316426162509562,0.02826887105533096,33188,0.0005391095648911647,0.017295407978787515,33519,0.0005532574258410222,0.007339121095498076,
